copy	count
1	2070784
2	553756
3	258256
4	148046
5	94507
6	65047
7	48160
8	36446
9	28657
10	23092
11	19387
12	16431
13	13280
14	11662
15	10378
16	8890
17	8008
18	7160
19	6330
20	5848
21	5267
22	4967
23	4722
24	4251
25	3954
26	3522
27	3283
29	3004
28	3001
30	2693
31	2605
32	2460
33	2257
34	2148
36	2102
35	2051
37	1915
38	1769
39	1735
41	1671
40	1600
42	1494
43	1493
44	1325
47	1289
46	1275
45	1269
50	1181
48	1154
49	1138
51	1073
52	1060
53	1013
54	999
55	911
57	898
56	862
58	860
61	856
60	827
59	797
62	766
70	737
65	732
64	689
75	688
66	681
69	668
63	661
67	634
68	631
77	616
73	595
76	588
79	586
71	574
72	569
80	558
74	557
78	521
84	497
82	493
87	493
81	474
95	462
86	462
89	451
83	447
91	433
92	425
88	412
85	410
93	402
96	395
94	390
97	389
90	387
98	367
99	364
101	354
108	351
100	340
103	330
106	326
104	324
112	323
105	314
116	311
121	310
107	309
119	307
102	307
111	301
139	294
118	290
120	289
109	287
113	284
110	281
128	273
114	271
117	268
115	264
131	262
122	260
147	258
123	256
125	254
127	253
124	252
126	246
133	241
148	240
130	233
186	231
142	231
138	230
136	230
170	228
129	227
149	225
135	225
140	224
132	223
137	208
155	206
143	205
157	204
145	202
141	202
152	200
146	197
151	195
154	191
134	189
144	188
232	180
169	179
217	178
194	174
162	174
158	173
164	173
159	172
165	171
174	169
156	167
150	167
177	166
192	164
172	164
167	162
178	162
173	162
226	161
171	161
161	159
153	157
176	156
179	155
160	154
181	154
175	152
252	151
166	150
185	146
168	144
189	144
163	142
193	141
204	140
202	140
320	140
227	139
201	139
183	139
205	139
188	137
190	137
184	137
187	136
180	134
199	132
200	131
197	131
206	130
182	129
211	126
218	124
257	124
198	123
243	122
203	120
195	119
207	119
295	118
216	118
222	116
196	116
256	115
191	115
214	112
225	112
614	112
208	112
210	111
213	109
231	109
281	109
290	109
209	109
223	108
246	107
212	107
215	107
229	107
242	105
391	101
221	101
235	100
475	99
224	99
228	99
219	98
270	98
248	97
236	97
230	97
264	96
266	96
237	96
239	96
233	95
220	95
661	95
260	94
238	94
271	94
247	93
254	92
253	92
273	91
371	91
279	91
244	90
250	88
274	87
240	87
272	87
241	87
245	87
263	87
234	86
269	86
287	85
293	85
261	83
352	83
282	82
276	81
291	81
275	81
265	80
301	79
322	79
278	78
251	78
255	78
310	78
300	77
296	77
259	77
313	77
288	77
249	77
258	76
262	75
306	75
294	74
804	74
348	74
284	74
286	73
305	73
311	72
268	72
452	72
303	72
334	71
358	71
292	71
280	71
327	71
285	70
350	70
338	70
298	70
289	69
